frame	position	phase	lumen_area	lumen_circumf	longest_distance	shortest_distance	elliptic_ratio	vector_length	vector_angle	measurement_1	measurement_2	pullback_speed	pullback_start_frame	frame_rate
1	0.00	-	7.72	9.87	3.25	3.00	1.08	0.82	167.42			1.00	115.00	30.00
2	0.03	-	7.66	9.84	3.23	2.99	1.08	0.80	164.97					
3	0.07	-	7.42	9.69	3.21	2.93	1.09	0.77	160.15					
4	0.10	-	7.48	9.74	3.21	2.93	1.10	0.78	159.77					
5	0.13	-	6.95	9.41	3.16	2.89	1.10	0.81	162.53					
6	0.17	-	7.12	9.54	3.12	2.92	1.07	0.87	164.73					
7	0.20	-	6.69	9.23	2.99	2.79	1.07	0.87	168.07					
8	0.24	-	6.55	9.10	2.95	2.84	1.04	0.84	177.53					
9	0.27	-	6.17	8.85	2.90	2.66	1.09	0.90	187.81					
10	0.30	-	5.78	8.55	2.84	2.61	1.09	0.90	198.47					
11	0.34	-	6.10	8.80	2.92	2.66	1.10	0.87	190.48					
12	0.37	-	7.21	9.57	3.13	2.91	1.08	0.85	176.90					
13	0.40	-	7.83	9.95	3.27	3.05	1.07	0.81	171.22					
14	0.44	-	7.43	9.69	3.20	2.94	1.09	0.78	169.67					
15	0.47	-	7.36	9.66	3.21	2.89	1.11	0.77	169.10					
16	0.50	-	7.22	9.56	3.21	2.87	1.12	0.77	169.39					
17	0.54	-	7.10	9.49	3.17	2.85	1.11	0.81	169.19					
18	0.57	-	6.99	9.40	3.06	2.89	1.06	0.88	171.25					
19	0.61	-	6.39	9.06	2.98	2.66	1.12	0.91	180.84					
20	0.64	-	5.86	8.64	2.88	2.56	1.13	0.89	192.55					
21	0.67	-	6.17	8.88	2.97	2.61	1.14	0.91	199.96					
22	0.71	-	6.10	8.82	2.91	2.62	1.11	0.92	201.16					
23	0.74	-	6.39	8.99	2.97	2.73	1.09	0.90	192.45					
24	0.77	-	6.94	9.37	3.05	2.84	1.07	0.85	181.14					
25	0.81	-	7.86	9.97	3.27	3.04	1.07	0.83	174.01					
26	0.84	-	7.64	9.83	3.27	2.99	1.09	0.79	170.88					
27	0.87	-	7.43	9.70	3.23	2.93	1.10	0.79	171.17					
28	0.91	-	7.42	9.69	3.22	2.92	1.10	0.79	175.03					
29	0.94	-	6.80	9.27	3.04	2.88	1.06	0.83	174.44					
30	0.98	-	6.59	9.16	2.97	2.81	1.06	0.88	178.47					
31	1.01	-	6.75	9.29	3.01	2.83	1.07	0.91	184.74					
32	1.04	-	6.27	8.93	2.91	2.70	1.08	0.96	202.44					
33	1.08	-	5.76	8.55	2.85	2.56	1.11	0.90	202.75					
34	1.11	-	5.83	8.62	2.88	2.53	1.14	0.92	205.48					
35	1.14	-	6.79	9.27	3.00	2.86	1.05	0.81	189.65					
36	1.18	-	7.86	9.97	3.27	3.08	1.06	0.80	178.94					
37	1.21	-	7.67	9.84	3.27	3.06	1.07	0.78	179.55					
38	1.25	-	7.78	9.92	3.28	3.02	1.09	0.75	172.94					
39	1.28	-	7.50	9.74	3.24	2.96	1.10	0.79	174.21					
40	1.31	-	7.61	9.83	3.29	2.92	1.13	0.78	173.86					
41	1.35	-	7.25	9.58	3.17	2.95	1.07	0.84	174.17					
42	1.38	-	6.86	9.34	3.06	2.81	1.09	0.88	174.45					
43	1.41	-	6.54	9.14	3.01	2.72	1.11	0.92	182.76					
44	1.45	-	5.96	8.73	2.92	2.52	1.16	0.90	193.31					
45	1.48	-	5.79	8.59	2.86	2.52	1.14	0.90	199.79					
46	1.51	-	5.91	8.67	2.90	2.55	1.14	0.90	200.96					
47	1.55	-	7.42	9.70	3.22	2.94	1.10	0.76	175.34					
48	1.58	-	7.61	9.79	3.24	3.00	1.08	0.75	169.86					
49	1.62	-	7.50	9.73	3.25	2.96	1.10	0.73	169.23					
50	1.65	-	7.58	9.79	3.30	2.93	1.13	0.76	163.06					
51	1.68	-	7.05	9.45	3.18	2.83	1.12	0.73	161.54					
52	1.72	-	6.99	9.40	3.12	2.88	1.08	0.74	160.80					
53	1.75	-	6.19	8.88	2.87	2.75	1.04	0.78	161.80					
54	1.78	-	6.78	9.25	3.03	2.83	1.07	0.81	161.59					
55	1.82	-	6.08	8.76	2.89	2.71	1.06	0.77	168.74					
56	1.85	-	6.32	9.88	3.70	2.54	1.46	1.02	196.50					
57	1.88	-	5.94	8.77	3.09	2.56	1.21	0.82	202.06					
58	1.92	-	5.11	8.06	2.73	2.39	1.14	0.76	193.03					
59	1.95	-	6.53	9.08	2.95	2.81	1.05	0.72	174.93					
60	1.99	-	6.45	9.03	3.00	2.78	1.08	0.77	176.05					
61	2.02	-	7.26	9.57	3.15	2.91	1.08	0.80	173.87					
62	2.05	-	7.64	10.11	3.74	2.74	1.36	0.94	181.25					
63	2.09	-	7.64	9.89	3.48	2.84	1.23	0.88	178.94					
64	2.12	-	7.24	9.70	3.51	2.65	1.32	0.84	183.06					
65	2.15	-	7.28	9.68	3.44	2.73	1.26	0.87	180.38					
66	2.19	-	7.48	10.18	3.97	2.52	1.58	0.99	197.05					
67	2.22	-	6.30	9.08	3.31	2.54	1.31	0.93	206.49					
68	2.26	-	7.01	9.54	3.43	2.63	1.31	0.87	213.12					
69	2.29	-	6.43	9.05	3.09	2.61	1.18	0.84	215.72					
70	2.32	-	6.59	9.22	3.31	2.71	1.22	0.75	204.81					
71	2.36	-	6.75	9.26	3.18	2.77	1.15	0.78	197.49					
72	2.39	-	8.39	10.97	4.35	2.61	1.67	1.19	201.76					
73	2.42	-	8.54	11.26	4.45	2.60	1.71	1.25	200.13					
74	2.46	-	7.04	9.54	3.45	2.69	1.28	0.86	198.77					
75	2.49	-	7.44	9.85	3.61	2.68	1.34	0.84	198.96					
76	2.52	-	7.29	9.79	3.63	2.64	1.38	0.84	198.55					
77	2.56	-	7.13	9.70	3.63	2.61	1.39	0.86	200.86					
78	2.59	-	5.62	8.54	3.04	2.46	1.24	0.78	210.07					
79	2.63	-	5.65	8.54	2.99	2.46	1.21	0.80	223.62					
80	2.66	-	6.00	8.76	3.08	2.52	1.22	0.81	230.46					
81	2.69	-	5.53	8.42	3.00	2.40	1.25	0.78	232.66					
82	2.73	-	6.70	9.23	3.17	2.69	1.18	0.79	223.64					
