frame	position	phase	lumen_area	lumen_circumf	longest_distance	shortest_distance	elliptic_ratio	vector_length	vector_angle	measurement_1	measurement_2	pullback_speed	pullback_start_frame	frame_rate
1	0.00	-	14.45	13.63	4.69	3.75	1.25	0.83	47.87			0.50	94.00	30.00
2	0.02	-	14.00	13.42	4.66	3.70	1.26	0.93	54.54					
3	0.03	-	12.51	12.70	4.42	3.50	1.26	0.93	63.75					
4	0.05	-	12.37	12.60	4.32	3.54	1.22	0.95	67.20					
5	0.07	-	10.97	11.87	4.07	3.30	1.23	0.78	57.74					
6	0.08	-	13.36	13.24	4.72	3.47	1.36	0.80	58.49					
7	0.10	-	13.13	13.05	4.62	3.51	1.32	0.86	59.20					
8	0.12	-	13.33	13.18	4.72	3.45	1.37	0.89	55.21					
9	0.13	-	13.50	13.23	4.72	3.51	1.34	0.87	46.62					
10	0.15	-	13.02	12.98	4.59	3.45	1.33	0.94	30.76					
11	0.17	-	12.75	12.83	4.51	3.47	1.30	0.90	32.29					
12	0.18	-	12.46	12.67	4.44	3.42	1.30	0.89	28.61					
13	0.20	-	12.88	12.89	4.53	3.48	1.30	0.89	31.65					
14	0.22	-	13.13	12.99	4.56	3.56	1.28	0.85	35.57					
15	0.23	-	14.45	13.63	4.65	3.79	1.23	0.92	50.24					
16	0.25	-	12.18	12.51	4.34	3.47	1.25	0.90	65.45					
17	0.27	-	12.18	12.43	4.20	3.66	1.15	0.89	71.34					
18	0.28	-	10.93	11.80	4.00	3.38	1.18	0.72	61.87					
19	0.30	-	12.65	12.89	4.61	3.32	1.39	0.77	53.85					
20	0.32	-	13.06	13.00	4.59	3.50	1.31	0.87	53.25					
21	0.33	-	14.02	13.53	4.82	3.52	1.37	0.88	58.61					
22	0.35	-	13.11	13.04	4.68	3.49	1.34	0.92	50.07					
23	0.37	-	13.58	13.26	4.73	3.55	1.33	0.96	31.48					
24	0.38	-	12.72	12.82	4.50	3.43	1.31	0.91	25.66					
25	0.40	-	13.46	13.15	4.56	3.60	1.27	0.94	22.79					
26	0.41	-	13.63	13.22	4.59	3.65	1.26	0.89	27.55					
27	0.43	-	14.80	13.78	4.73	3.83	1.24	0.89	37.79					
28	0.45	-	14.55	13.65	4.75	3.83	1.24	0.94	51.07					
29	0.46	-	12.77	12.94	4.65	3.36	1.38	0.80	60.34					
30	0.48	-	12.80	12.82	4.42	3.62	1.22	0.91	68.04					
31	0.50	-	11.78	12.33	4.30	3.33	1.29	0.73	54.81					
32	0.51	-	12.28	12.64	4.49	3.38	1.33	0.82	59.74					
33	0.53	-	13.32	13.13	4.63	3.57	1.30	0.86	59.85					
34	0.55	-	13.37	13.18	4.65	3.47	1.34	0.86	57.68					
35	0.56	-	13.44	13.22	4.75	3.48	1.37	0.87	50.23					
36	0.58	-	13.76	13.44	4.85	3.45	1.41	0.87	43.77					
37	0.60	-	12.61	12.80	4.57	3.38	1.35	0.91	29.03					
38	0.61	-	12.64	12.75	4.46	3.49	1.28	0.91	29.52					
39	0.63	-	12.84	12.87	4.53	3.48	1.30	0.87	28.16					
40	0.64	-	13.13	12.98	4.53	3.59	1.26	0.84	33.59					
41	0.66	-	14.66	13.68	4.69	3.84	1.22	0.77	51.25					
42	0.68	-	12.96	12.93	4.50	3.57	1.26	0.86	63.28					
43	0.69	-	11.60	12.22	4.24	3.38	1.26	0.89	71.06					
44	0.71	-	11.07	11.94	4.13	3.30	1.25	0.77	61.31					
45	0.73	-	11.68	12.34	4.45	3.26	1.36	0.78	49.93					
46	0.74	-	12.58	12.77	4.52	3.45	1.31	0.82	57.13					
47	0.76	-	13.11	13.08	4.70	3.43	1.37	0.87	52.50					
48	0.78	-	13.35	13.14	4.66	3.53	1.32	0.90	51.81					
49	0.79	-	13.59	13.41	4.95	3.38	1.46	0.89	41.39					
50	0.81	-	12.69	12.88	4.66	3.36	1.39	0.95	30.15					
51	0.83	-	12.67	12.84	4.59	3.36	1.37	0.93	29.58					
52	0.84	-	12.69	12.81	4.53	3.45	1.32	0.93	29.30					
53	0.86	-	12.82	12.88	4.56	3.44	1.32	0.93	34.06					
54	0.87	-	13.81	13.42	4.70	3.54	1.33	0.88	46.15					
55	0.89	-	13.49	13.10	4.42	3.75	1.18	0.95	50.35					
56	0.91	-	12.01	12.53	4.46	3.30	1.35	0.86	74.48					
57	0.92	-	12.17	12.43	4.18	3.64	1.15	0.83	67.75					
58	0.94	-	11.28	12.06	4.22	3.31	1.27	0.67	54.05					
59	0.96	-	12.96	12.98	4.59	3.49	1.32	0.92	49.57					
60	0.97	-	12.78	12.83	4.58	3.55	1.29	0.99	44.26					
61	0.99	-	12.92	12.95	4.65	3.47	1.34	0.97	51.74					
62	1.01	-	13.03	13.03	4.74	3.47	1.37	0.99	45.72					
63	1.02	-	13.25	13.20	4.82	3.41	1.41	0.89	43.42					
64	1.04	-	12.86	12.98	4.69	3.35	1.40	0.90	37.39					
65	1.06	-	12.05	12.53	4.52	3.29	1.38	0.88	37.56					
66	1.07	-	12.62	12.80	4.53	3.39	1.34	0.87	35.40					
67	1.09	-	12.41	12.70	4.47	3.36	1.33	0.78	54.78					
68	1.10	-	12.08	12.53	4.49	3.33	1.35	0.89	60.73					
69	1.12	-	12.28	12.66	4.45	3.34	1.33	0.84	66.67					
70	1.14	-	11.17	11.96	4.07	3.37	1.21	0.91	72.85					
71	1.15	-	12.19	12.50	4.17	3.55	1.17	0.83	49.79					
72	1.17	-	12.90	12.91	4.48	3.56	1.26	0.88	47.66					
73	1.19	-	12.88	12.90	4.46	3.55	1.26	0.96	51.70					
74	1.20	-	12.90	12.89	4.55	3.57	1.27	0.97	52.88					
75	1.22	-	13.17	13.15	4.64	3.46	1.34	0.95	59.31					
76	1.24	-	13.81	13.48	4.76	3.52	1.35	0.94	53.43					
77	1.25	-	13.26	13.22	4.75	3.42	1.39	0.88	48.41					
78	1.27	-	12.82	12.94	4.65	3.37	1.38	0.90	40.49					
79	1.29	-	13.09	13.09	4.73	3.43	1.38	0.88	40.48					
80	1.30	-	13.88	13.59	4.89	3.45	1.42	0.84	53.08					
81	1.32	-	12.99	13.05	4.61	3.43	1.34	0.93	66.32					
82	1.34	-	11.60	12.29	4.31	3.24	1.33	0.87	74.29					
83	1.35	-	10.65	11.75	4.04	3.22	1.25	0.86	75.62					
84	1.37	-	11.02	11.87	4.07	3.44	1.18	0.85	65.59					
85	1.38	-	10.80	11.76	4.02	3.36	1.20	0.86	65.02					
86	1.40	-	12.45	12.68	4.41	3.50	1.26	0.88	59.11					
87	1.42	-	11.67	12.22	4.07	3.48	1.17	1.00	62.05					
88	1.43	-	12.29	12.60	4.42	3.43	1.29	1.01	54.14					
89	1.45	-	12.48	12.72	4.51	3.44	1.31	1.03	54.71					
90	1.47	-	12.96	12.94	4.62	3.53	1.31	0.99	44.77					
91	1.48	-	13.23	13.10	4.69	3.50	1.34	0.96	43.46					
92	1.50	-	12.60	12.78	4.58	3.43	1.34	0.99	41.37					
93	1.52	-	13.30	13.19	4.74	3.46	1.37	0.87	49.32					
94	1.53	-	13.72	13.43	4.82	3.51	1.37	0.93	62.48					
95	1.55	-	12.26	12.58	4.39	3.47	1.27	0.98	74.59					
96	1.56	-	11.27	12.05	4.03	3.38	1.19	0.90	87.34					
97	1.58	-	11.14	12.07	4.15	3.27	1.27	0.92	80.61					
98	1.60	-	11.63	12.32	4.29	3.29	1.30	0.80	76.33					
99	1.61	-	12.20	12.52	4.28	3.51	1.22	0.87	78.71					
100	1.63	-	12.56	12.69	4.29	3.61	1.19	0.92	81.77					
101	1.65	-	13.95	13.60	4.80	3.69	1.30	0.90	85.64					
102	1.66	-	13.99	13.85	4.94	3.58	1.38	0.93	89.04					
103	1.68	-	12.10	12.55	4.28	3.43	1.25	1.01	68.10					
104	1.70	-	13.06	12.98	4.62	3.57	1.29	0.98	46.39					
105	1.71	-	13.00	13.01	4.70	3.48	1.35	0.97	46.82					
106	1.73	-	13.45	13.29	4.81	3.50	1.38	0.96	50.09					
107	1.75	-	12.92	12.98	4.66	3.45	1.35	0.95	58.17					
108	1.76	-	12.59	12.75	4.38	3.50	1.25	0.97	78.72					
109	1.78	-	11.10	12.01	4.05	3.32	1.22	1.02	87.81					
110	1.80	-	10.62	11.68	3.91	3.40	1.15	0.97	87.85					
111	1.81	-	10.09	11.45	3.98	3.18	1.25	0.81	88.91					
112	1.83	-	11.92	12.38	4.20	3.50	1.20	0.86	82.00					
113	1.84	-	12.94	12.90	4.47	3.66	1.22	0.89	88.24					
114	1.86	-	13.33	13.08	4.52	3.80	1.19	0.92	90.90					
115	1.88	-	13.46	13.20	4.60	3.73	1.23	0.93	88.60					
116	1.89	-	13.05	12.94	4.53	3.71	1.22	0.91	79.54					
117	1.91	-	12.45	12.64	4.42	3.54	1.25	0.94	65.86					
118	1.93	-	12.18	12.57	4.35	3.42	1.27	0.93	63.73					
119	1.94	-	12.21	12.58	4.39	3.43	1.28	0.91	61.42					
120	1.96	-	12.93	13.00	4.41	3.51	1.26	0.85	73.43					
121	1.98	-	14.21	13.59	4.67	3.76	1.24	0.84	92.32					
122	1.99	-	11.56	12.09	4.00	3.75	1.07	0.94	92.77					
123	2.01	-	10.57	11.64	4.10	3.38	1.21	1.00	94.29					
124	2.03	-	10.55	11.60	3.97	3.40	1.17	0.78	93.39					
125	2.04	-	12.35	12.48	4.12	3.85	1.07	0.80	85.44					
126	2.06	-	11.95	12.31	4.17	3.67	1.14	0.88	83.32					
127	2.07	-	12.48	12.63	4.26	3.60	1.18	0.98	84.26					
128	2.09	-	12.66	12.72	4.35	3.67	1.18	0.94	86.85					
129	2.11	-	12.39	12.60	4.29	3.53	1.21	0.91	73.32					
130	2.12	-	13.21	12.99	4.50	3.77	1.19	0.82	69.40					
131	2.14	-	12.77	12.89	4.41	3.54	1.25	0.84	72.19					
132	2.16	-	12.91	13.01	4.50	3.49	1.29	0.87	69.10					
133	2.17	-	12.21	12.61	4.14	3.56	1.16	0.88	86.31					
134	2.19	-	12.93	12.95	4.52	3.62	1.25	0.86	91.55					
135	2.21	-	12.36	12.54	4.28	3.66	1.17	0.92	102.68					
136	2.22	-	10.53	11.65	3.78	3.38	1.12	0.92	98.69					
137	2.24	-	9.70	11.16	3.84	3.17	1.21	0.90	89.66					
138	2.26	-	10.67	11.77	4.06	3.28	1.24	0.83	76.09					
139	2.27	-	10.95	11.86	3.95	3.41	1.16	0.89	81.23					
140	2.29	-	11.99	12.37	4.13	3.61	1.14	1.00	80.45					
141	2.30	-	12.60	12.62	4.19	3.78	1.11	0.97	80.78					
142	2.32	-	11.87	12.27	4.12	3.64	1.13	1.01	81.10					
143	2.34	-	12.44	12.58	4.31	3.65	1.18	0.91	74.90					
144	2.35	-	13.45	13.12	4.53	3.68	1.23	0.82	76.84					
145	2.37	-	12.62	12.72	4.34	3.61	1.20	0.86	77.65					
146	2.39	-	12.67	12.73	4.30	3.68	1.17	0.82	81.51					
147	2.40	-	12.82	12.78	4.31	3.75	1.15	0.80	90.14					
148	2.42	-	11.09	11.93	4.10	3.40	1.21	0.97	97.99					
149	2.44	-	10.43	11.53	3.87	3.39	1.14	0.98	101.28					
150	2.45	-	9.98	11.29	3.80	3.30	1.15	0.95	99.21					
151	2.47	-	10.23	11.40	3.85	3.39	1.14	0.76	85.93					
152	2.49	-	11.36	11.99	3.89	3.66	1.06	0.88	89.71					
153	2.50	-	11.90	12.26	3.98	3.71	1.08	1.00	79.32					
154	2.52	-	12.32	12.48	4.06	3.80	1.07	1.00	82.87					
155	2.53	-	12.42	12.50	4.03	3.88	1.04	0.98	80.48					
156	2.55	-	12.47	12.64	4.30	3.59	1.20	0.91	72.74					
157	2.57	-	12.76	12.75	4.33	3.69	1.17	0.85	74.42					
158	2.58	-	12.51	12.67	4.29	3.61	1.19	0.83	73.95					
159	2.60	-	13.14	12.96	4.43	3.73	1.19	0.81	82.81					
160	2.62	-	12.47	12.65	4.33	3.64	1.19	0.83	84.55					
161	2.63	-	12.55	12.66	4.29	3.79	1.13	0.92	99.86					
162	2.65	-	10.28	11.46	3.71	3.38	1.10	0.99	96.87					
163	2.67	-	10.14	11.33	3.79	3.49	1.09	0.93	101.64					
164	2.68	-	8.79	10.60	3.62	3.12	1.16	0.91	91.70					
165	2.70	-	11.17	11.88	3.88	3.63	1.07	0.92	86.42					
166	2.72	-	11.94	12.26	3.95	3.85	1.03	0.95	80.81					
167	2.73	-	12.09	12.38	4.03	3.73	1.08	1.04	84.54					
168	2.75	-	13.06	12.83	4.21	3.95	1.07	0.99	78.98					
169	2.76	-	12.47	12.61	4.27	3.68	1.16	1.02	76.02					
170	2.78	-	12.89	12.84	4.33	3.67	1.18	0.94	74.94					
171	2.80	-	12.62	12.72	4.29	3.65	1.18	0.89	75.08					
172	2.81	-	12.74	12.73	4.29	3.74	1.15	0.87	79.58					
173	2.83	-	12.44	12.56	4.27	3.76	1.13	0.88	82.10					
174	2.85	-	11.79	12.20	4.02	3.79	1.06	0.90	96.86					
175	2.86	-	10.72	11.66	3.91	3.58	1.09	1.02	99.20					
176	2.88	-	9.46	11.01	3.72	3.28	1.13	1.02	99.23					
177	2.90	-	9.77	11.11	3.68	3.42	1.08	0.88	89.99					
178	2.91	-	11.38	11.98	3.90	3.68	1.06	0.83	83.97					
179	2.93	-	11.90	12.24	3.95	3.82	1.03	0.88	82.85					
180	2.95	-	11.42	12.01	3.93	3.67	1.07	1.11	80.38					
181	2.96	-	11.83	12.22	3.99	3.73	1.07	1.07	77.66					
182	2.98	-	11.72	12.17	3.96	3.73	1.06	1.06	78.71					
183	2.99	-	12.66	12.63	4.16	3.88	1.07	0.95	78.33					
184	3.01	-	12.78	12.72	4.24	3.88	1.09	0.90	80.22					
185	3.03	-	12.86	12.77	4.25	3.82	1.11	0.90	83.25					
186	3.04	-	12.62	12.63	4.18	3.80	1.10	0.89	85.24					
187	3.06	-	11.85	12.22	3.99	3.83	1.04	0.93	97.62					
188	3.08	-	10.09	11.33	3.67	3.38	1.09	1.02	101.19					
189	3.09	-	9.69	11.08	3.63	3.40	1.06	1.02	106.39					
190	3.11	-	8.59	10.42	3.40	3.23	1.05	0.85	97.54					
191	3.13	-	9.50	10.99	3.67	3.25	1.13	0.73	95.13					
192	3.14	-	10.97	11.83	3.96	3.58	1.11	0.92	75.36					
193	3.16	-	11.11	11.90	3.97	3.56	1.12	1.05	81.69					
194	3.18	-	11.99	12.31	4.05	3.72	1.09	1.09	78.42					
195	3.19	-	11.51	12.06	3.94	3.76	1.05	1.07	82.12					
196	3.21	-	12.70	12.66	4.18	3.90	1.07	0.98	77.53					
197	3.22	-	12.54	12.61	4.19	3.86	1.08	0.94	80.95					
198	3.24	-	12.56	12.59	4.14	3.84	1.08	0.91	82.37					
199	3.26	-	12.30	12.47	4.06	3.80	1.07	0.92	83.01					
