frame	position	phase	lumen_area	lumen_circumf	longest_distance	shortest_distance	elliptic_ratio	vector_length	vector_angle	measurement_1	measurement_2	pullback_speed	pullback_start_frame	frame_rate
1	0.00	-	16.26	14.41	5.01	4.10	1.22	0.91	48.40			0.50	79.00	30.00
2	0.02	-	13.15	12.94	4.22	3.96	1.06	1.16	59.63					
3	0.03	-	13.80	13.27	4.33	4.10	1.06	1.23	63.29					
4	0.05	-	13.79	13.35	4.46	3.98	1.12	1.09	46.05					
5	0.07	-	16.04	14.38	5.07	3.99	1.27	0.87	330.13					
6	0.08	-	17.26	15.01	5.43	4.18	1.30	0.81	320.13					
7	0.10	-	16.33	14.44	4.90	4.15	1.18	0.64	318.74					
8	0.12	-	16.74	14.60	5.04	4.21	1.20	0.47	335.01					
9	0.13	-	17.10	14.85	5.23	4.15	1.26	0.50	355.02					
10	0.15	-	16.80	14.67	5.10	4.15	1.23	0.59	334.59					
11	0.17	-	16.90	14.80	5.33	4.04	1.32	0.48	12.21					
12	0.18	-	15.94	14.42	5.27	3.99	1.32	0.63	32.30					
13	0.20	-	15.14	14.11	5.16	3.83	1.35	0.88	30.93					
14	0.22	-	11.61	12.18	4.13	3.46	1.19	1.15	68.48					
15	0.23	-	10.42	11.63	4.14	3.12	1.33	1.14	59.45					
16	0.25	-	11.53	12.22	4.18	3.43	1.22	1.18	39.46					
17	0.27	-	10.76	11.71	4.05	3.40	1.19	0.89	355.34					
18	0.28	-	14.78	13.68	4.41	4.25	1.04	1.12	323.48					
19	0.30	-	14.76	13.80	4.80	3.88	1.24	1.11	312.80					
20	0.32	-	15.21	13.87	4.57	4.20	1.09	0.88	315.94					
21	0.33	-	15.91	14.37	5.18	3.96	1.31	0.34	3.49					
22	0.35	-	15.69	14.35	5.15	3.89	1.32	0.48	349.46					
23	0.37	-	15.46	14.05	4.84	4.00	1.21	0.57	0.82					
24	0.38	-	13.86	13.28	4.57	3.83	1.19	0.69	13.33					
25	0.40	-	13.48	13.15	4.62	3.84	1.21	0.82	30.57					
26	0.42	-	13.78	13.22	4.37	4.05	1.08	1.08	47.17					
27	0.43	-	11.69	12.17	4.02	3.63	1.11	1.21	66.39					
28	0.45	-	11.48	12.13	4.09	3.51	1.17	1.31	48.42					
29	0.47	-	12.35	12.53	4.15	3.71	1.12	1.24	32.75					
30	0.48	-	12.71	12.78	4.21	3.88	1.09	1.20	331.61					
31	0.50	-	13.72	13.16	4.36	4.00	1.09	1.21	311.88					
32	0.51	-	15.86	14.16	4.58	4.41	1.04	0.93	311.42					
33	0.53	-	15.60	14.10	4.88	4.14	1.18	0.74	317.15					
34	0.55	-	16.44	14.46	4.89	4.28	1.14	0.71	337.95					
35	0.56	-	16.76	14.61	4.99	4.30	1.16	0.82	317.77					
36	0.58	-	16.51	14.66	5.27	3.88	1.36	0.67	337.68					
37	0.60	-	14.67	13.91	5.09	3.55	1.43	0.61	1.70					
38	0.61	-	16.91	15.18	5.63	3.63	1.55	0.80	18.11					
39	0.63	-	13.84	13.27	4.31	4.13	1.04	1.28	47.22					
40	0.65	-	12.18	12.48	4.23	3.58	1.18	1.28	50.11					
41	0.66	-	13.07	12.94	4.29	3.84	1.12	1.30	29.83					
42	0.68	-	11.65	12.37	4.35	3.30	1.32	0.87	350.73					
43	0.70	-	15.43	14.21	4.95	3.88	1.28	1.13	300.88					
44	0.71	-	16.82	14.62	4.91	4.42	1.11	0.98	306.64					
45	0.73	-	16.90	14.64	4.86	4.37	1.11	1.00	297.26					
46	0.75	-	16.89	14.59	4.83	4.43	1.09	0.89	311.84					
47	0.76	-	16.36	14.36	4.72	4.42	1.07	0.96	311.80					
48	0.78	-	15.28	13.86	4.48	4.33	1.03	0.94	312.16					
49	0.79	-	16.24	14.31	4.62	4.43	1.04	0.85	344.96					
50	0.81	-	15.15	13.82	4.58	4.27	1.10	0.76	12.62					
51	0.83	-	16.39	14.56	5.13	4.17	1.23	1.01	28.65					
52	0.84	-	15.72	14.19	4.96	4.07	1.18	1.03	46.04					
53	0.86	-	15.51	14.30	5.25	4.01	1.19	1.16	51.70					
54	0.88	-	18.57	15.42	5.47	4.48	1.21	1.12	38.85					
55	0.89	-	17.60	14.93	4.92	4.51	1.11	1.06	335.30					
56	0.91	-	16.26	14.37	4.75	4.45	1.06	1.07	311.43					
57	0.93	-	15.21	13.86	4.62	4.26	1.05	1.05	308.78					
58	0.94	-	15.20	13.85	4.64	4.23	1.08	1.17	299.24					
59	0.96	-	14.60	13.58	4.56	4.06	1.05	1.04	308.05					
66	1.07	-	15.90	14.18	4.78	4.33	1.10	1.06	39.05					
67	1.09	-	14.83	13.72	4.62	4.15	1.11	0.98	9.24					
68	1.11	-	15.85	14.17	4.79	4.25	1.13	1.12	325.49					
69	1.12	-	15.19	13.86	4.61	4.21	1.10	1.15	304.93					
70	1.14	-	13.75	13.16	4.32	4.10	1.05	1.18	302.75					
71	1.16	-	14.21	13.37	4.39	4.15	1.06	1.03	298.59					
72	1.17	-	13.74	13.15	4.28	4.09	1.05	1.01	303.48					
73	1.19	-	13.92	13.24	4.26	4.12	1.03	0.97	301.57					
74	1.21	-	14.51	13.54	4.50	4.13	1.09	0.85	322.74					
75	1.22	-	14.74	13.63	4.52	4.19	1.08	0.79	330.57					
76	1.24	-	14.46	13.55	4.59	4.07	1.13	0.99	353.19					
77	1.26	-	15.27	13.89	4.66	4.21	1.11	0.96	13.22					
78	1.27	-	12.63	12.67	4.22	3.73	1.13	0.96	33.91					
79	1.29	-	14.23	13.42	4.53	4.04	1.12	0.97	38.49					
80	1.31	-	13.72	13.18	4.44	3.92	1.13	0.78	338.20					
81	1.32	-	14.93	13.72	4.54	4.23	1.07	1.04	312.87					
82	1.34	-	14.25	13.40	4.35	4.14	1.05	1.00	306.78					
83	1.35	-	14.97	13.74	4.56	4.22	1.08	1.05	299.22					
84	1.37	-	14.36	13.46	4.37	4.12	1.06	0.76	311.88					
85	1.39	-	14.20	13.38	4.44	4.07	1.09	0.61	316.89					
86	1.40	-	13.68	13.13	4.29	4.06	1.06	0.57	318.83					
87	1.42	-	13.67	13.11	4.24	4.12	1.03	0.51	336.28					
88	1.44	-	13.28	12.93	4.18	4.04	1.03	0.47	0.60					
89	1.45	-	14.47	13.54	4.54	4.08	1.11	0.85	27.61					
90	1.47	-	16.08	14.26	4.85	4.27	1.14	0.90	64.56					
91	1.49	-	13.37	12.99	4.26	3.98	1.07	0.92	53.82					
92	1.50	-	13.85	13.26	4.32	4.12	1.05	0.77	44.60					
93	1.52	-	13.48	13.05	4.39	3.94	1.12	0.73	331.78					
94	1.54	-	15.24	13.85	4.58	4.25	1.08	0.81	306.89					
95	1.55	-	14.44	13.49	4.42	4.19	1.06	0.80	304.97					
96	1.57	-	13.59	13.09	4.25	4.04	1.05	0.60	313.90					
